sys.exec.out.time {s},time {s},altitude {m},latitude {r},longitude {r},seat_accel_x {m/s2},seat_accel_y {m/s2},seat_accel_z {m/s2}
24.8,24.81,2627.022065,0.4985345378,-1.406247438,-0.216600222,0.1927707592,-0.1764619337
24.9,24.91,2628.2428,0.4985346402,-1.406247039,-0.2185564645,0.1987316912,-0.1762208065
25,25.01,2629.367379,0.4985347424,-1.406246641,-0.2201182744,0.1993398321,-0.1779916965
25.1,25.11,2630.395878,0.4985348446,-1.406246243,-0.2243674698,0.1967105414,-0.1852638048
25.2,25.21,2631.328367,0.4985349466,-1.406245845,-0.2266508165,0.1964450118,-0.1886538796
25.3,25.31,2632.16494,0.4985350485,-1.406245448,-0.2327875079,0.2001310273,-0.1951826829
25.4,25.41,2632.9057,0.4985351503,-1.406245052,-0.238466384,0.203447599,-0.2013423124
25.5,25.51,2633.550748,0.498535252,-1.406244656,-0.2405081931,0.205045942,-0.2028153253
25.6,25.61,2634.10014,0.4985353536,-1.406244261,-0.2376941559,0.2033464835,-0.1986889457
25.7,25.71,2634.553872,0.498535455,-1.406243866,-0.2342494208,0.1999066636,-0.1947250948
25.8,25.81,2634.911935,0.4985355564,-1.406243471,-0.234480766,0.2004292342,-0.1935861619
25.9,25.91,2635.174353,0.4985356577,-1.406243077,-0.2365649418,0.2031347303,-0.1937184759
26,26.01,2635.341171,0.4985357589,-1.406242684,-0.2374567501,0.2046338485,-0.1928248945
26.1,26.11,2635.412422,0.4985358601,-1.406242291,-0.239132287,0.2060352926,-0.193102071
26.2,26.21,2635.388144,0.4985359611,-1.406241898,-0.2417009714,0.2083374773,-0.1940673824
26.3,26.31,2635.26839,0.498536062,-1.406241506,-0.2458179699,0.2119235119,-0.1964239928
26.4,26.41,2635.053224,0.4985361628,-1.406241114,-0.2499710953,0.2155089189,-0.1987733793
26.5,26.51,2634.742714,0.4985362636,-1.406240723,-0.2540175444,0.2184023317,-0.2013541421
26.6,26.61,2634.33692,0.4985363642,-1.406240332,-0.259218203,0.2228551401,-0.2045736866
26.7,26.71,2633.835923,0.4985364648,-1.406239942,-0.2659006872,0.2292039165,-0.2086728891
26.8,26.81,2633.239829,0.4985365653,-1.406239552,-0.273838515,0.2355553522,-0.2145140143
26.9,26.91,2632.548756,0.4985366657,-1.406239162,-0.2830484264,0.2451515637,-0.2200444812
27,27.01,2631.762846,0.498536766,-1.406238772,-0.2949963892,0.252628879,-0.2307991354
27.1,27.11,2630.882256,0.4985368662,-1.406238384,-0.3051793171,0.2602057983,-0.2387989901
27.2,27.21,2629.90713,0.4985369664,-1.406237995,-0.3156412787,0.2678203573,-0.2470672392
27.3,27.31,2628.837618,0.4985370664,-1.406237607,-0.3306797587,0.2798395567,-0.2590770662
27.4,27.41,2627.673917,0.4985371665,-1.406237219,-0.3442538123,0.2911669979,-0.269224234
27.5,27.51,2626.416225,0.4985372664,-1.406236832,-0.3589995333,0.3040696975,-0.2798939221
27.6,27.61,2625.06474,0.4985373663,-1.406236445,-0.3680603733,0.3106805577,-0.2861009866
27.7,27.71,2623.619601,0.4985374661,-1.406236058,-0.3809955232,0.3228793957,-0.2942615615
